# $Id$
#
# List of Datums available in GMT
# The (Dx,Dy,Dz) values are in meters relative to WGS-84
# To add more datumes, add new records, and run
#
# make gmt_datums.h
#
#Datum-name	Ellipsoid	Dx	Dy	Dz	Region
Pointe Noire 1948	Clarke-1880	-148	51	-291	Congo
Porto Santo 1936	International-1924	-503.362	-247.604	312.651	Porto Santo; Madeira Islands
Provisional South American 1956	International-1924	-270	188	-388	Bolivia
Provisional South American 1956	International-1924	-270	183	-390	Chile (Northern; Near 19S)
Provisional South American 1956	International-1924	-305	243	-442	Chile (Southern; Near 43S)
Provisional South American 1956	International-1924	-282	169	-371	Colombia
Provisional South American 1956	International-1924	-278	171	-367	Ecuador
Provisional South American 1956	International-1924	-298	159	-369	Guyana
Provisional South American 1956	International-1924	-288	175	-376	MEAN FOR Bolivia; Chile; Colombia; Ecuador; Guyana; Peru; Venezuela
Provisional South American 1956	International-1924	-279	175	-379	Peru
Provisional South American 1956	International-1924	-295	173	-371	Venezuela
Provisional South Chilean 1963	International-1924	16	196	93	Chile (Near 53S) (Hito XVIII)
Puerto Rico	Clarke-1866	11	72	-101	Puerto Rico; Virgin Islands
Pulkovo 1942	Krassovsky	28	-130	-95	Russia
Qatar National	International-1924	-128	-283	22	Qatar
Qornoq	International-1924	164	138	-189	Greenland (South)
Reunion	International-1924	94	-948	-1262	Mascarene Islands
Rome 1940	International-1924	-225	-65	9	Italy (Sardinia)
S-42 (Pulkovo 1942)	Krassovsky	28	-121	-77	Hungary
S-42 (Pulkovo 1942)	Krassovsky	23	-124	-82	Poland
S-42 (Pulkovo 1942)	Krassovsky	26	-121	-78	Czechoslavakia
S-42 (Pulkovo 1942)	Krassovsky	24	-124	-82	Latvia
S-42 (Pulkovo 1942)	Krassovsky	15	-130	-84	Kazakhstan
S-42 (Pulkovo 1942)	Krassovsky	24	-130	-92	Albania
S-42 (Pulkovo 1942)	Krassovsky	28	-121	-77	Romania
S-JTSK	Bessel	589	76	480	Czechoslavakia (Prior 1 JAN 1993)
Santo (DOS) 1965	International-1924	170	42	84	Espirito Santo Island
Sao Braz	International-1924	-203	141	53	Azores (Sao Miguel; Santa Maria Ids)
Sao Tome	International-1924	-176	-650	-82	Sao Tome Island
Sapper Hill 1943	International-1924	-355	21	72	East Falkland Island
Schwarzeck	Bessel (Namibia)	616	97	-251	Namibia
Selvagem Grande 1938	International-1924	-289	-124	60	Salvage Islands
Sierra Leone 1960	Clarke-1880	-88	4	101	Sierra Leone
South-American	South-American	-62	-1	-37	Argentina
South-American	South-American	-61	2	-48	Bolivia
South-American	South-American	-60	-2	-41	Brazil
South-American	South-American	-75	-1	-44	Chile
South-American	South-American	-44	6	-36	Colombia
South-American	South-American	-48	3	-44	Ecuador
South-American	South-American	-47	26	-42	Ecuador (Baltra; Galapagos)
South-American	South-American	-53	3	-47	Guyana
South-American	South-American	-57	1	-41	MEAN FOR Argentina; Bolivia; Brazil; Chile; Colombia; Ecuador; Guyana; Paraguay; Peru; Trinidad & Tobago; Venezuela
South-American	South-American	-61	2	-33	Paraguay
South-American	South-American	-58	0	-44	Peru
South-American	South-American	-45	12	-33	Trinidad & Tobago
South-American	South-American	-45	8	-33	Venezuela
South Asia	Modified-Fischer-1960	7	-10	-26	Singapore
Tananarive Observatory 1925	International-1924	-189	-242	-91	Madagascar
Timbalai 1948	Everest-1830-Timbalai	-679	669	-48	Brunei; E. Malaysia (Sabah Sarawak)
Tokyo	Bessel	-148	507	685	Japan
Tokyo	Bessel	-148	507	685	MEAN FOR Japan; South Korea; Okinawa
Tokyo	Bessel	-158	507	676	Okinawa
Tokyo	Bessel	-147	506	687	South Korea
Tristan Astro 1968	International-1924	-632	438	-609	Tristan da Cunha
Viti Levu 1916	Clarke-1880	51	391	-36	Fiji (Viti Levu Island)
Voirol 1960	Clarke-1880	-123	-206	219	Algeria
Wake Island Astro 1952	International-1924	276	-57	149	Wake Atoll
Wake-Eniwetok 1960	Hough	102	52	-38	Marshall Islands
WGS 1972	WGS-72	0	0	0	Global Definition
WGS 1984	WGS-84	0	0	0	Global Definition
Yacare	International-1924	-155	171	37	Uruguay
Zanderij	International-1924	-265	120	-358	Suriname
